,NoAgentReward
0,32371.7999999998
1,32633.29999999978
2,33620.199999999786
3,32553.0999999998
4,31671.399999999812
5,33734.99999999978
6,32428.199999999793
7,32957.29999999977
8,33305.39999999978
9,32691.89999999979
10,32952.499999999796
11,32462.199999999786
12,32721.699999999793
13,32869.59999999977
14,33366.59999999976
15,32863.29999999977
16,32958.69999999979
17,32257.89999999982
18,32230.5999999998
19,33503.89999999977
20,32122.6999999998
21,32366.099999999806
22,33495.49999999978
23,33100.59999999979
24,32190.399999999812
25,32647.49999999978
26,33617.59999999979
27,33460.79999999977
28,33118.099999999795
29,32482.099999999795
30,32458.599999999802
31,33263.59999999977
32,33392.99999999978
33,32688.299999999777
34,33863.59999999976
35,32544.199999999768
36,33147.199999999786
37,33556.49999999975
38,32877.89999999978
39,31634.999999999804
40,32759.399999999794
41,33101.999999999796
42,32286.69999999979
43,32864.89999999979
44,32680.79999999979
45,33345.99999999978
46,33674.5999999998
47,32440.299999999774
48,33469.49999999977
49,32712.099999999788
50,33267.899999999776
51,32855.799999999756
52,32378.299999999814
53,33351.09999999977
54,31945.6999999998
55,32496.399999999776
56,32714.199999999793
57,32642.699999999797
58,33136.49999999979
59,33839.89999999976
60,33045.49999999977
61,32121.99999999981
62,32300.699999999808
63,32846.099999999795
64,32986.999999999796
65,32431.09999999979
66,32327.099999999784
67,32240.499999999793
68,33658.79999999976
69,33130.399999999776
70,33164.39999999978
71,32695.999999999785
72,31830.399999999798
73,32066.299999999803
74,31950.2999999998
75,33250.29999999979
76,32345.6999999998
77,32447.699999999793
78,33055.69999999979
79,33223.699999999786
80,33592.79999999979
81,31977.899999999805
82,32878.79999999977
83,32469.199999999815
84,33611.6999999998
85,31638.199999999815
86,32465.49999999982
87,31864.999999999818
88,33002.599999999795
89,32815.999999999774
90,33065.89999999978
91,32752.999999999796
92,32713.899999999816
93,32247.899999999798
94,32968.999999999796
95,32056.2999999998
96,33117.599999999795
97,33218.39999999979
98,32230.99999999978
99,33012.5999999998
